"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Contractor,Country of Operator/Owner,Purpose,Detailed Purpose,Class of Orbit,Launch Mass (kg.), Dry Mass (kg.) ,Date of Launch
Alsat-2A (Algeria Satellite 2A),Algeria,France/UK/Germany/Spain,Algeria,Earth Observation,Optical Imaging,LEO,130,,12/07/2010
Alsat-2B,Algeria,France/UK/Germany/Spain,Algeria,Earth Observation,Optical Imaging,LEO,117,,26/09/2016
Amazonas-2,Brazil,France/UK/Germany/Spain,Spain,Communications,Optical Imaging,GEO,"5,465",,1/10/2009
Amazonas-3,Brazil,USA,Spain,Communications,,GEO,"6,265"," 2,778 ",7/02/2013
Amazonas-4A,NR,USA,Spain,Communications,,GEO,"2,938",,22/03/2014
Amazonas-5,NR,USA,Spain,Communications,,GEO,"5,900",,12/09/2017
Amazonas-Nexus,Brazil,France/Italy,Spain,Communications,,GEO,"4,000"," 4,000 ",7/02/2023
Amazonia-1 (SSR-1),Brazil,Brazil,Brazil,Earth Observation,Optical Imaging,LEO,637,,28/02/2021
"AMC-11 (Americom-11, GE 11)",USA,USA,USA,Communications,,GEO,"2,340"," 2,316 ",19/05/2004
AMC-15 (Americom-15),USA,USA,USA,Communications,,GEO,"4,200",,14/10/2004
AMC-18 (Americom 18),USA,USA,USA,Communications,,GEO,"2,081", 918 ,8/12/2006
AMC-21 (Americom 21),United Kingdom,USA,USA,Communications,,GEO,"2,500",,14/08/2008
"AMC-6 (Americom-6, GE-6)",USA,USA,USA,Communications,,GEO,"3,901"," 2,500 ",22/10/2000
AmGU-1 (AmurSat-1),Russia,Russia,Russia,Space Science,,LEO,4,,5/07/2019
Amos 17,NR,USA,Israel,Communications,,GEO,"6,500",,6/08/2019
Amos 3,NR,Israel,Israel,Communications,,GEO,,,28/04/2008
Amos 4,NR,Israel,Israel,Communications,,GEO,,,31/08/2013
Amsat-Oscar 7 (AO-7),USA,USA,USA,Communications,,LEO,29,,15/11/1974
"ANASIS-II (Army, Navy Air Force Satellite Information System 2, KMilSatCom 1)",South Korea,France/UK/Germany/Spain,South Korea,Communications,,GEO,,,20/07/2020
ANDESITE Mule (Ad-Hoc Network Demonstration for Extended Satellite-Based Inquiry and Other Team Endeavors),USA,USA,USA,Space Science/Technology Demonstration,,LEO,9,,13/06/2020
ANGELS (Argos Neo on a Generic Economical and Light Satellite),France,ESA,ESA,Communications,,LEO,18,,18/12/2019
Angosat-2,NR (12/22),Russia,Angola,Communications,,LEO,"2,150",,12/10/2022
Anik F1 ,Canada,USA,Canada,Communications,,GEO,"4,710"," 2,950 ",21/11/2000
Anik F1R,Canada,France/UK/Germany/Spain,Canada,Communications,,GEO,"4,500",,9/09/2005
Anik F2 ,Canada,USA,Canada,Communications,,GEO,"5,910"," 3,805 ",18/07/2004
Anik F3,Canada,France/UK/Germany/Spain,Canada,Communications,,GEO,"4,715",,9/04/2007
Anik G1,Canada,USA,Canada,Communications,,GEO,"4,905",,15/04/2013
AprizeSat 1 (LatinSat-C),USA,Argentina,Argentina,Communications/Technology Development,,LEO,12, 12 ,29/06/2004
AprizeSat 10 (exactView-13),USA,USA,USA/Argentina,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,12, 12 ,19/06/2014
AprizeSat 2 (LatinSat-D),USA,Argentina,USA/Argentina,Communications/Technology Development,,LEO,12, 12 ,29/06/2004
AprizeSat 3 ,USA,USA,USA/Argentina,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,12, 12 ,29/07/2009
AprizeSat 4 ,USA,USA,USA/Argentina,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,12, 12 ,29/07/2009
AprizeSat 5,USA,USA,Canada,Communications,Automatic Identification System (AIS),LEO,12, 12 ,17/08/2011
AprizeSat 7,USA,USA,Canada,Communications,Automatic Identification System (AIS),LEO,12, 12 ,21/11/2013
AprizeSat 8 (exactView-12),USA,USA,USA/Argentina,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,12, 12 ,21/11/2013
AprizeSat 9 (exactView-11),USA,USA,USA,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,12, 12 ,19/06/2014
Apstar 6C,China,China,China,Communications,,GEO,,,3/05/2018
Apstar 6D,China,China,China,Communications,,GEO,"5,550",,9/07/2020
Apstar 6E,NR (9/23),China,China,Communications,,GEO,"4,300"," 2,090 ",12/01/2023
Apstar 7,China,France/Italy,China,Communications,,GEO,"5,054",,31/03/2012
Apstar 9,China,China,China,Communications,,GEO,"5,200",,16/10/2015
Arabsat 5C,NR,France,Multinational,Communications,,GEO,"4,630",,21/09/2011
Arabsat 6A,NR,USA,Multinational,Communications,,GEO,"6,465",,11/04/2019
ARCE 1A (Articulated Reconnaissance and Communications Expedition-1),USA,USA,USA,Technology Development,,LEO,1,,24/01/2021
ARCE 1B (Articulated Reconnaissance and Communications Expedition-1),USA,USA,USA,Technology Development,,LEO,1,,24/01/2021
ARCE 1C (Articulated Reconnaissance and Communications Expedition-1),USA,USA,USA,Technology Development,,LEO,1,,24/01/2021
ARCSAT ,NR (4/22),Norway,Norway,Technology Demonstration,,LEO,10,,1/04/2022
ARICA,NR (1/22),Japan,Japan,Technology Development,,LEO,1,,8/11/2021
Arktika-M1,Russia,Russia,Russia,Earth Observation,Meteorology,Elliptical,"2,200", 780 ,28/02/2021
Arkyd-6A,USA,USA,USA,Technology Development,,LEO,10,,11/01/2018
ArSat 1,Argentina,Argentina,Argentina,Communications,,GEO,"3,000",,16/10/2014
ArSat 2,Argentina,Argentina,Argentina,Communications,,GEO,"2,977",,30/09/2015
Arthur,Belgium,Belgium,Belgium,Earth Observation,Optical Imaging,LEO,20,,30/06/2021
ASELSAT,NR,Turkey,Turkey,Earth Observation,Optical Imaging,LEO,5,,24/01/2021
AsiaSat-5,China,USA,China,Communications,,GEO,"3,760",,11/08/2009
AsiaSat-6 (Thaicom-7),China,USA,China,Communications,,GEO,"3,700",,7/09/2014
AsiaSat-7,China,USA,China,Communications,,GEO,"3,813",,25/11/2011
AsiaSat-8,China,USA,China,Communications,,GEO,"4,500",,5/08/2014
AsiaSat-9,China,USA,China,Communications,,GEO,"6,140",,28/09/2017
AsiaStar ,USA,France,USA,Communications,,GEO,"2,775"," 1,530 ",21/03/2000
ASNARO 1 (Advanced Satellite with New system Architecture for Observation),Japan,Japan,Japan,Earth Observation,Optical Imaging,LEO,500,,6/11/2014
ASNARO 2 (Advanced Satellite with New system Architecture for Observation),Japan,Japan,Japan,Earth Observation,Radar Imaging,LEO,570,,17/01/2018
ASTERISC (Asutarisuku),NR (1/22),Japan,Japan,Technology Development,,LEO,4,,8/11/2021
Astra 1G ,Luxembourg,USA,Luxembourg,Communications,,GEO,"3,379"," 3,010 ",2/12/1997
Astra 1KR,Luxembourg,USA,Luxembourg,Communications,,GEO,"4,332",,20/04/2006
Astra 1L,Luxembourg,USA,Luxembourg,Communications,,GEO,"4,500",,4/05/2007
Astra 1M,Luxembourg,France,Luxembourg,Communications,,GEO,"5,345",,5/11/2008
Astra 1N,Luxembourg,France,Luxembourg,Communications,,GEO,"5,350",,6/08/2011
Astra 2A ,Luxembourg,USA,Luxembourg,Communications,,GEO,"3,635"," 2,500 ",30/08/1998
Astra 2C ,Luxembourg,USA,Luxembourg,Communications,,GEO,"3,643"," 2,000 ",16/06/2001
Astra 2D,Luxembourg,USA,Luxembourg,Communications,,GEO,"1,420", 700 ,19/12/2000
Astra 2E (Eutelsat 28E),Luxembourg,France,Luxembourg,Communications,,GEO,"6,052",,29/09/2013
Astra 2F (Eutelsat 28F),Luxembourg,France/UK/Germany,Luxembourg,Communications,,GEO,"6,000"," 2,660 ",28/09/2012
Astra 2G (Eutelsat 28G),Luxembourg,Germany/France,Luxembourg,Communications,,GEO,"6,000",,27/12/2014
Astra 3A ,Luxembourg,USA,Luxembourg,Communications,,GEO,"1,500", 750 ,29/03/2002
Astra 3B,Luxembourg,France/UK/Germany/Spain,Luxembourg,Communications,,GEO,"5,471",,21/05/2010
Astra 5B,Luxembourg,France,Luxembourg,Communications,,GEO,"5,724",,22/03/2014
Astranis Demosat-2,USA,USA,USA,Technology Development,,LEO,,,11/01/2018
Astrocast-0101,NR (1/22),Switzerland,Switzerland,Communications,,LEO,4,,24/01/2021
Astrocast-0102 ,NR (1/22),Switzerland,Switzerland,Communications,,LEO,4,,24/01/2021
Astrocast-0103 ,NR (1/22),Switzerland,Switzerland,Communications,,LEO,4,,24/01/2021
Astrocast-0104 ,NR (1/22),Switzerland,Switzerland,Communications,,LEO,4,,24/01/2021
Astrocast-0105 ,NR (1/22),Switzerland,Switzerland,Communications,,LEO,4,,24/01/2021
Astrocast-0201 ,NR (1/22),Swizerland,Switzerland,Communications,,LEO,4,,30/06/2021
Astrocast-0202   ,NR (1/22),Switzerland,Switzerland,Communications,,LEO,4,,30/06/2021
Astrocast-0203,NR (1/22),Switzerland,Switzerland,Communications,,LEO,4,,30/06/2021
Astrocast-0204 ,NR (1/22),Switzerland,Switzerland,Communications,,LEO,4,,30/06/2021
Astrocast-0205 ,NR (1/22),Switzerland,Switzerland,Communications,,LEO,4,,30/06/2021
Astrosat,India,India,India,Space Science,,LEO,230,,28/09/2015
AT&T T16,USA,France,USA,Communications,,GEO,"6,350",,20/06/2019
Athena,USA,USA,USA,Communications,,LEO,138,,2/09/2020
Athena-Fidus  (Access on THeatres for European Nations Allied forces - French Italian Dual Use Satellite),France,France,France/Italy,Communications,,GEO,"3,080",,6/02/2014
Athenoxat-1 (Athene Noctua Experimental Satellite) ,NR,Singapore,Singapore,Technology Development,,LEO,6,,16/12/2015
Azerspace 1/Africasat-1a,Azerbaijan,USA,Azerbaijan,Communications,,GEO,"3,250"," 1,438 ",7/02/2013
Azerspace 2/Intelsat-38,Azerbaijan,USA,Azerbaijan,Communications,,GEO,"3,500",,25/09/2018
Badr 4 (Arabsat 4B),NR,France/UK/Germany/Spain,Multinational,Communications,,GEO,"3,304"," 1,487 ",8/11/2006
Badr 5 (Arabsat 5B),NR,France/UK/Germany/Spain,Multinational,Communications,,GEO,"5,420",,3/06/2010
Badr 5A (Arabsat 5A),NR,France/UK/Germany/Spain,Multinational,Communications,,GEO,"4,940",,26/06/2010
Badr 6 (Arabsat 4AR),NR,France/UK/Germany/Spain,Multinational,Communications,,GEO,"3,400",,7/07/2008
Badr 7 (Arabsat 6B),NR,France/UK/Germany/Spain,Multinational,Communications,,GEO,"5,500",,10/11/2015
Bangabandhu 1 ,NR,France/Belgium/Spain/Italy,Bangladesh,Communications,,GEO,"3,500",,11/05/2018
Baoyun,NR (1/22),China,China,Unknown,,LEO,20,,6/12/2021
BARS-M (Cosmos 2503),Russia,Russia,Russia,Earth Observation,Electronic Intelligence,LEO,"4,000"," 3,500 ",27/02/2015
BARS-M (Cosmos 2515),Russia,Russia,Russia,Earth Observation,Electronic Intelligence,LEO,"4,000"," 3,500 ",24/03/2016
BARS-M3 (Cosmos 2556),Russia,Russia,Russia,Earth Observation,Electronic Intelligence,LEO,"3,700"," 3,500 ",19/05/2022
BARS-M4 (Cosmos 2567),Russia,Russia,Russia,Earth Observation,Electronic Intelligence,LEO,"3,700"," 3,500 ",23/03/2023
BB-1,USA,USA,USA,Technology Demonstration,,LEO,300, 300 ,2/04/2023
BB-2,USA,USA,USA,Technology Demonstration,,LEO,300, 300 ,2/04/2023
BDSAT (CZE-BDSAT),NR (4/22),Czech Republic,Czech Republic,Technology Demonstration,,LEO,1,,1/04/2022
BDSAT-2,NR (9/23),Czech Republic,Czech Republic,Communications,Amateur Radio,LEO,2, 2 ,3/01/2023
Beesat-5 (Berlin Experimental and Educational Satellite-5),Germany,Germany,Germany,Technology Demonstration,,LEO,1,,22/03/2021
Beesat-6 (Berlin Experimental and Educational Satellite-6),Germany,Germany,Germany,Technology Demonstration,,LEO,1,,22/03/2021
Beesat-7 (Berlin Experimental and Educational Satellite-7),Germany,Germany,Germany,Technology Demonstration,,LEO,1,,22/03/2021
Beesat-8 (Berlin Experimental and Educational Satellite-8),Germany,Germany,Germany,Technology Demonstration,,LEO,1,,22/03/2021
"Beesat-9 (Berlin Experimental and Educational Satellite-9, Tubsat-17)",Germany,Germany,Germany,Technology Development,,LEO,1,,5/07/2019
Beidou 2-12 (Compass M3),China,China,China,Navigation/Global Positioning,,MEO,"2,200",,28/04/2012
Beidou 2-13 (Compass M4),China,China,China,Navigation/Global Positioning,,MEO,"2,200",,28/04/2012
Beidou 2-15 (Compass M6),China,China,China,Navigation/Global Positioning,,MEO,"3,800",,18/09/2012
Beidou 2-16 (Compass G-6),China,China,China,Navigation/Global Positioning,,GEO,"3,800"," 2,300 ",25/10/2012
Beidou 2-17 (IGSO-6),China,China,China,Navigation/Global Positioning,,GEO,"4,200"," 1,900 ",30/03/2016
Beidou 2-18 (Compass G-7),China,China,China,Navigation/Global Positioning,,GEO,"3,800",,12/06/2016
Beidou 3I-1S,China,China,China,Navigation/Global Positioning,,GEO,"4,200",,30/03/2015
Beidou 3I-2S,China,China,China,Navigation/Global Positioning,,GEO,"4,200",,29/09/2015
Beidou 3M-1S,China,China,China,Navigation/Global Positioning,,MEO,800, 280 ,25/07/2015
Beidou 3M-2S,China,China,China,Navigation/Global Positioning,,MEO,800, 280 ,25/07/2015
Beidou 3M1 ,China,China,China,Navigation/Global Positioning,,MEO,800, 280 ,5/11/2017
Beidou 3M1 (Beidou 23),China,China,China,Navigation/Global Positioning,,MEO,800, 280 ,22/09/2019
Beidou 3M1 (Beidou 24),China,China,China,Navigation/Global Positioning,,MEO,800, 280 ,22/09/2019
Beidou 3M1 (Beidou 25),China,China,China,Navigation/Global Positioning,,MEO,800, 280 ,5/11/2017
Beidou DW 26,China,China,China,Navigation/Global Positioning,,MEO,800, 280 ,11/01/2018
Beidou DW 27,China,China,China,Navigation/Global Positioning,,MEO,800, 280 ,11/01/2018
Beidou DW 28,China,China,China,Navigation/Global Positioning,,MEO,800, 280 ,12/02/2018
Beidou DW 29,China,China,China,Navigation/Global Positioning,,MEO,800, 280 ,12/02/2018
Beidou DW 30,China,China,China,Navigation/Global Positioning,,MEO,800, 280 ,29/03/2018
Beidou DW 31,China,China,China,Navigation/Global Positioning,,MEO,800, 280 ,29/03/2018
Beidou DW 32,China,China,China,Navigation/Global Positioning,,GEO,800, 280 ,9/07/2018
Beidou DW 33,China,China,China,Navigation/Global Positioning,,MEO,800, 280 ,29/07/2018
Beidou DW 34,China,China,China,Navigation/Global Positioning,,MEO,800, 280 ,29/07/2018
Beidou DW 35,China,China,China,Navigation/Global Positioning,,MEO,800, 280 ,24/08/2018
Beidou DW 36,China,China,China,Navigation/Global Positioning,,MEO,800, 280 ,24/08/2018
Beidou DW 37,China,China,China,Navigation/Global Positioning,,MEO,800, 280 ,19/09/2018
Beidou DW 38,China,China,China,Navigation/Global Positioning,,MEO,800, 280 ,19/09/2018
Beidou DW 39,China,China,China,Navigation/Global Positioning,,MEO,800, 280 ,15/10/2018
Beidou DW 40,China,China,China,Navigation/Global Positioning,,MEO,800, 280 ,15/10/2018
Beidou DW 41,China,China,China,Navigation/Global Positioning,,GEO,800, 280 ,1/11/2018
Beidou DW 42,China,China,China,Navigation/Global Positioning,,MEO,800, 280 ,18/11/2018
Beidou DW 43,China,China,China,Navigation/Global Positioning,,MEO,800, 280 ,18/11/2018
Beidou DW 44,China,China,China,Navigation/Global Positioning,,GEO,800, 280 ,20/04/2019
Beidou DW 45,China,China,China,Navigation/Global Positioning,,GEO,800, 280 ,17/05/2019
Beidou DW 46,China,China,China,Navigation/Global Positioning,,GEO,800, 280 ,24/06/2019
Beidou DW 49 ,China,China,China,Navigation/Global Positioning,,GEO,"4,200",,5/11/2019
Beidou DW 50,China,China,China,Navigation/Global Positioning,,MEO,800, 280 ,23/11/2019
Beidou DW 51,China,China,China,Navigation/Global Positioning,,MEO,800, 280 ,23/11/2019
Beidou DW 52,China,China,China,Navigation/Global Positioning,,MEO,800, 280 ,16/12/2019
Beidou DW 53,China,China,China,Navigation/Global Positioning,,MEO,800, 280 ,16/12/2019
Beidou DW 55,China,China,China,Navigation/Global Positioning,,GEO,800, 280 ,23/06/2020
Beidou G3 (Compass G-3),China,China,China,Navigation/Global Positioning,,GEO,"2,200",,9/03/2020
Beidou G4 (Compass G-4),China,China,China,Navigation/Global Positioning,,GEO,"6,000",,31/10/2010
Beidou G5 (Compass G-11),China,China,China,Navigation/Global Positioning,,GEO,"2,300",,24/02/2012
Beidou IGSO-1 (Compass G-5),China,China,China,Navigation/Global Positioning,,GEO,"4,200"," 1,900 ",31/07/2010
Beidou IGSO-2 (Compass G-7),China,China,China,Navigation/Global Positioning,,GEO,"4,200"," 1,900 ",17/12/2010
Beidou IGSO-3 (Compass G-8),China,China,China,Navigation/Global Positioning,,GEO,"4,200"," 1,900 ",9/04/2011
Beidou IGSO-4 (Compass G-9),China,China,China,Navigation/Global Positioning,,GEO,"4,200"," 1,900 ",26/07/2011
Beidou IGSO-5 (Compass G-10),China,China,China,Navigation/Global Positioning,,GEO,"4,200"," 1,900 ",1/12/2011
Beijing-3,NR,China,China ,Earth Observation,Optical Imaging,LEO,,,11/06/2021
"BeijingGalaxy-1 (Beijing 1 [Tsinghua], Tsinghau-2, China DMC+4)",China,China/UK,China,Earth Observation,Optical Imaging,LEO,166, 155 ,27/10/2005
Beiyou-1,NR (9/23),China,China,Earth Observation,Radar Imaging,LEO,50, 50 ,15/01/2023
Belintersat-1,Belarus,China/France,Belarus,Communications,,GEO,"5,223",,15/01/2016
Bird 2 (Bispectral InfraRed Detector 2),Germany,Germany,Germany,Earth Observation/Technology Development,Optical Imaging,LEO,92, 77 ,22/10/2001
Birkeland (MilSpace 2-1),NR (9/23),Norway/Netherlands,Norway,Earth Observation,Radar Surveillance,LEO,10, 10 ,3/01/2023
BIROS (Bispectral Infrared Optical System),Germany,Germany,Germany,Earth Observation,Optical Imaging,LEO,130,,22/06/2016
BisonSat (Nwist Qwiqway),USA,USA,USA,Earth Observation/Technology Development,Optical Imaging,LEO,1,,8/10/2015
BKA 2 (BelKA 2),Belarus,Russia,Belarus,Earth Observation,Optical Imaging,LEO,400, 110 ,22/07/2012
BlackSky Global 1,NR,USA,USA,Earth Observation,Optical Imaging,LEO,56,,29/11/2018
BlackSky Global 14,USA,USA,USA,Earth Observation,Optical Imaging,LEO,55,,18/11/2021
BlackSky Global 15,USA,USA,USA,Earth Observation,Optical Imaging,LEO,55,,18/11/2021
BlackSky Global 16,USA,USA,USA,Earth Observation,Optical Imaging,LEO,55,,9/12/2021
BlackSky Global 17,USA,USA,USA,Earth Observation,Optical Imaging,LEO,55,,9/12/2021
BlackSky Global 18,USA,USA,USA,Earth Observation,Optical Imaging,LEO,55, 50 ,2/04/2022
BlackSky Global 19,USA,USA,USA,Earth Observation,Optical Imaging,LEO,55, 50 ,24/03/2023
BlackSky Global 2,USA,USA,USA,Earth Observation,Optical Imaging,LEO,55,,3/12/2018
BlackSky Global 20,USA,USA,USA,Earth Observation,Optical Imaging,LEO,55, 50 ,2/04/2022
BlackSky Global 3,USA,USA,USA,Earth Observation,Optical Imaging,LEO,56,,29/06/2019
BlackSky Global 4,USA,USA,USA,Earth Observation,Optical Imaging,LEO,56,,19/08/2019
BlackSky Global 5,USA,USA,USA,Earth Observation,Optical Imaging,LEO,,,
BlackSky Global 7,USA,USA,USA,Earth Observation,Optical Imaging,LEO,56,,7/08/2020
BlackSky Global 8,USA,USA,USA,Earth Observation,Optical Imaging,LEO,56,,7/08/2020
BlackSky Global 9,USA,USA,USA,Earth Observation,Optical Imaging,LEO,56,,22/03/2021
BlackSky Pathfinder 1,USA,USA,USA,Earth Observation,Optical Imaging,LEO,44,,26/09/2016
Blagovest-11L (Cosmos 2520),Russia,Russia,Russia,Communications,,GEO,"3,000",,16/08/2017
Blagovest-12L (Cosmos 2526),Russia,Russia,Russia,Communications,,GEO,"3,000",,18/04/2018
Blagovest-13L (Cosmos 2533),Russia,Russia,Russia,Communications,,GEO,"3,000",,20/12/2018
Blagovest-14L (Cosmos 2539),Russia,Russia,Russia,Communications,,GEO,"3,000",,5/08/2019
Bluewalker 1,Lithuania,Lithuania,Lithuania,Technology Development,,LEO,10,,1/04/2019
Bluewalker 3,USA,USA,USA,Communications,,LEO,"1,500",,11/09/2022
Brazilsat B-4 (Brasilsat B-4),Brazil,USA,Brazil,Communications,,GEO,"2,495"," 1,050 ",17/08/2000
Brik-II,Netherlands,Netherlands,Netherlands,Earth Observation,Signals Intelligence,LEO,10,,30/06/2021
BRIO ,USA,USA,USA,Technology Development,,LEO,4,,3/12/2018
BRISat,Indonesia,USA,Indonesia,Communications,,GEO,"3,540",,19/06/2016
BRITE-CA-1 (BRITE Toronto),NR,Canada,Canada,Space Science,,LEO,10,,19/06/2014
"BRITE-PL-2 (BRIght-star Target Explorer - Poland, Hevelius)",NR,Poland,Multinational,Space Science,,LEO,10,,19/08/2014
BRO-1,France,Denmark,France,Earth Observation,Maritime Surveillance,LEO,8, 8 ,19/08/2019
BRO-2,France,Denmark,France,Earth Observation,Maritime Surveillance,LEO,8, 8 ,20/11/2020
BRO-3,France,Denmark,France,Earth Observation,Maritime Surveillance,LEO,8, 8 ,20/11/2020
BRO-4,France,Denmark,France,Earth Observation,Maritime Surveillance,LEO,8, 8 ,17/08/2021
BRO-6,France,Denmark,France,Earth Observation,Maritime Surveillance,LEO,8, 8 ,2/05/2022
BRO-7,France,France,France,Earth Observation,Maritime Surveillance,LEO,10,,1/04/2022
