"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Contractor,Country of Operator/Owner,Purpose,Detailed Purpose,Class of Orbit,Launch Mass (kg.), Dry Mass (kg.) ,Date of Launch
Kepler-4 ANTILLES,NR (12/20),Canada,Canada,Communications,,LEO,9,,28/09/2020
Kepler-5 AMIDALA,NR (12/20),Canada,Canada,Communications,,LEO,9,,28/09/2020
Kepler-6 ROCINANTE,NR (5/21),Canada,Canada,Communications,,LEO,9,,22/03/2021
Kepler-7 C3PO,NR (5/21),Canada,Canada,Communications,,LEO,9,,22/03/2021
Kepler-8 AMAROK,NR (5/21),Canada,Canada,Communications,,LEO,9,,24/01/2021
Kepler-9 ARTEMIS,NR (5/21),Canada,Canada,Communications,,LEO,9,,24/01/2021
KestrelEye IIM,USA,USA,USA,Earth Observation/Technology Development,Optical Imaging,LEO,50,,24/10/2017
"Keyhole 11 (NROL 91, Advanced KH-11, Evolved Improved Crystal 19, USA 338)",USA,USA,USA,Earth Observation,Optical Imaging,LEO,"20,000",,24/09/2022
"Keyhole 5 (Advanced KH-11, KH-12-5, Improved Crystal, EIS-3, USA 186)",USA,USA,USA,Earth Observation,Optical Imaging,LEO,"18,000"," 10,000 ",19/10/2005
"Keyhole 6 (NRO L49, Advanced KH-11, KH-12-6, Improved Crystal, USA 224)",USA,USA,USA,Earth Observation,Optical Imaging,LEO,"18,000"," 10,000 ",20/01/2011
"Keyhole 7 (NRO L65, Advanced KH-11, Improved Crystal, USA 245)",USA,USA,USA,Earth Observation,Optical Imaging,LEO,"18,000"," 10,000 ",28/08/2013
"Keyhole 8 (NRO L71, Advanced KH-11, Improved Crystal Block 5, USA 290)",USA,USA,USA,Earth Observation,Optical Imaging,LEO,"18,000"," 10,000 ",19/01/2019
"Keyhole 9 (NRO L82, Advanced KH-11, Evolved Improved Crystal Block F2, USA 314)",USA,USA,USA,Earth Observation,Optical Imaging,LEO,"20,000",,26/04/2021
KhalifaSat,United Arab Emirates,United Arab Emirates,United Arab Emirates,Earth Observation,Optical Imaging,LEO,330,,29/10/2018
Khayyam,NR (12/22),Russia,Iran,Earth Observation,Optical Imaging,LEO,650,,9/08/2022
KILIÇSAT,Turkey,Turkey,Turkey,Communications,Automatic Identification System (AIS),LEO,4, 4 ,15/04/2023
KIPP-1 ,NR,UK,United Kingdom,Communications,Internet of Things (IoT),LEO,10,,18/01/2018
Kirameki 2 (DSN-2),Japan,Japan,Japan,Communications,,GEO,,,24/01/2017
KJSY-1 (Kongjian Shiyan-1),NR,China,China,Technology Development,,LEO,1,,19/09/2015
"KKS-1 (Kouku Kousen Satellite One, Kiseki)",Japan,Japan,Japan,Technology Development,,LEO,3,,23/01/2009
KL-Alpha-A ,China,China,Germany,Technology Development,,LEO,,,17/11/2019
KL-Alpha-B,China,China,Germany,Technology Development,,LEO,,,17/11/2019
KL-Beta-A,NR (9/21),China,Germany,Technology Development,,LEO,100,,4/08/2021
KL-Beta-B,NR (9/21),China,Germany,Technology Development,,LEO,100,,4/08/2021
KMSL (Korea Microgravity Science Laboratory),NR (12/20),South Korea,South Korea,Space Science,,LEO,4,,22/03/2021
"Kompsat-2 (Arirang 2, Korean planned Multipurpose Satellite-2)",South Korea,South Korea/France/UK/Germany,South Korea,Earth Observation/Technology Development,Optical Imaging,LEO,800,,28/07/2006
"Kompsat-3 (Arirang 3, Korean Multipurpose Satellite-3)",South Korea,South Korea/France/UK/Germany,South Korea,Earth Observation,Optical Imaging,LEO,980,,17/05/2012
"Kompsat-3A (Arirang 3A, Korean Multipurpose Satellite-3A)",South Korea,South Korea,South Korea,Earth Observation,Optical Imaging,LEO,980,,25/03/2015
"Kompsat-5 (Arirang 5, Korean Multipurpose Satellite-4)",South Korea,South Korea,South Korea,Earth Observation,Radar Imaging,LEO,"1,400",,22/08/2013
Koreasat 5 (Mugungwha 5),South Korea,France/Italy,South Korea,Communications,,GEO,"4,450",,22/08/2006
Koreasat 5A (Mugungwha 5A),South Korea,France/Italy,South Korea,Communications,,GEO,"3,700",,30/10/2017
Koreasat 6 (Mugungwha 6),South Korea,USA,South Korea,Communications,,GEO,"2,850"," 1,150 ",29/12/2010
Koreasat 7 (Mugungwha 7),South Korea,France/Italy,South Korea,Communications,,GEO,"3,680",,4/05/2017
KOSEN-1 ,NR (1/22),Japan,Japan,Technology Development,,LEO,3,,8/11/2021
KSF1-A,NR (9/21),Luxembourg,Luxembourg,Earth Observation,Electronic Intelligence,LEO,10,,30/06/2021
KSF1-B,NR (9/21),Luxembourg,Luxembourg,Earth Observation,Electronic Intelligence,LEO,10,,30/06/2021
KSF2-A ,NR (4/22),Luxembourg,Luxembourg,Earth Observation,,LEO,10,,1/04/2022
KSF2-B,NR (4/22),Luxembourg,Luxembourg,Earth Observation,,LEO,10,,1/04/2022
KSF2-C ,NR (4/22),Luxembourg,Luxembourg,Earth Observation,,LEO,10,,1/04/2022
KSF2-D,NR (4/22),Luxembourg,Luxembourg,Earth Observation,,LEO,10,,1/04/2022
KSF3-A,Luxembourg,Luxembourg,Luxembourg,Earth Observation,,LEO,10,10,3/01/2023
KSF3-B,Luxembourg,Luxembourg,Luxembourg,Earth Observation,,LEO,10,10,3/01/2023
KSF3-C,Luxembourg,Luxembourg,Luxembourg,Earth Observation,,LEO,10,10,3/01/2023
KSF3-D,Luxembourg,Luxembourg,Luxembourg,Earth Observation,,LEO,10,10,3/01/2023
KSFI-C,NR (9/21),Luxembourg,Luxembourg,Earth Observation,Electronic Intelligence,LEO,10,,30/06/2021
KSFI-D,NR (9/21),Luxembourg,Luxembourg,Earth Observation,Electronic Intelligence,LEO,10,,30/06/2021
KSM-1A (Kleos Scouting Mission 1A),Luxembourg,Luxembourg,Luxembourg,Earth Observation,Radio Frequency Monitoring,LEO,,,7/11/2020
KSM-1B (Kleos Scouting Mission 1B),Luxembourg,Luxembourg,Luxembourg,Earth Observation,Radio Frequency Monitoring,LEO,,,7/11/2020
KSM-1C (Kleos Scouting Mission 1C),Luxembourg,Luxembourg,Luxembourg,Earth Observation,Radio Frequency Monitoring,LEO,,,7/11/2020
KSM-1D (Kleos Scouting Mission 1D),Luxembourg,Luxembourg,Luxembourg,Earth Observation,Radio Frequency Monitoring,LEO,,,7/11/2020
KSU Cubesat,NR (5/21),Saudi Arabia,Saudi Arabia,Technology Development,,LEO,2,,22/03/2021
"Kuafu-1 (ASO-S, Advanced Space-based Solar Observatory)",NR (12/22),China,China,Space Science,,LEO,888,,8/10/2022
KuwaitSat-1,NR (9/23),Kuwait,Kuwait,Technology Development,,LEO,3, 3 ,3/01/2023
KX-09,NR,China,China,Space Science,,LEO,,,30/08/2019
"Lacrosse/Onyx 4 (Lacrosse-4,  152)",USA,USA,USA,Earth Observation,Radar Imaging,LEO,"14,500",,17/08/2000
"Lacrosse/Onyx 5 (Lacrosse-5, NROL 16,  182)",USA,USA,USA,Earth Observation,Radar Imaging,LEO,"14,500",,30/04/2005
LacunaSat-2B,United Kingdom,UK,United Kingdom/Netherlands,Communications,Internet of Things (IoT),LEO,4,,22/03/2021
LacunaSat-2F,NR (9/23),USA,Lithuania,Communications,Internet of Things (IoT),LEO,4, 4 ,15/04/2023
LacunaSat-3,Lithuania,UK,United Kingdom,Communications,Internet of Things (IoT),LEO,5,,28/09/2020
Ladybird 1 (Piao chong 1),NR,China,China,Technology Development,Internet of Things (IoT),LEO,100,,7/12/2018
Ladybird 2 (Piao chong 2),NR,China,China,Technology Development,Internet of Things (IoT),LEO,8,,7/12/2018
Ladybird 3 (Piao chong 3),NR,China,China,Technology Development,Internet of Things (IoT),LEO,8,,7/12/2018
Ladybird 4 (Piao chong 4),NR,China,China,Technology Development,Internet of Things (IoT),LEO,8,,7/12/2018
Ladybird 5 (Piao chong 5),NR,China,China,Technology Development,Internet of Things (IoT),LEO,4,,7/12/2018
Ladybird 6 (Piao chong 6),NR,China,China,Technology Development,Internet of Things (IoT),LEO,4,,7/12/2018
Ladybird 7 (Piao chong 7),NR,China,China,Technology Development,Internet of Things (IoT),LEO,4,,7/12/2018
Landsat 7 ,USA,USA,USA,Earth Observation,Earth Science,LEO,"2,744"," 2,200 ",15/04/1999
Landsat 8,USA,USA,USA,Earth Observation,Earth Science,LEO,"2,780"," 1,512 ",11/02/2013
Landsat 9,USA,USA,USA,Earth Observation,Earth Science,LEO,"2,710"," 2,390 ",27/09/2021
LaoSat-1,Laos,China,Laos,Communications,,GEO,"3,800",,20/11/2015
LAPAN A2,Indonesia,Indonesia,Indonesia,Earth Observation,Earth Science,LEO,68,,24/09/2015
LAPAN A3,Indonesia,Indonesia,Indonesia,Earth Observation,Automatic Identification System (AIS),LEO,115,,22/06/2016
LAPAN-Tubsat (LAPAN A1),Indonesia,Germany,Indonesia,Earth Observation/Technology Development,Optical Imaging,LEO,60,,10/01/2007
LatinSat A,NR,USA,Argentina,Communications,,LEO,, 12 ,20/12/2002
LatinSat B ,NR,USA,Argentina,Communications,,LEO,, 12 ,20/12/2002
LDPE-1 (LDPE (Long Duration Propulsive ESPA) ,NR (1/22),USA,USA,Technology Development,,GEO,500, 500 ,7/12/2021
LDPE-3A (LDPE (Long Duration Propulsive ESPA) ,USA,USA,USA,Technology Development,,GEO,500, 500 ,15/01/2023
LEDSat (LED-based small Satellite),NR (9/21),Italy,Italy,Technology Development,,LEO,10,,17/08/2021
Lemur-1,USA,USA,USA,Technology Development,,LEO,10,,19/06/2014
Lemur-2 AC-Cubed ,NR (9/21),USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,30/06/2021
Lemur-2 Alex-Maddy (Lemur 2FM106),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,5/07/2019
Lemur-2 Alexander (Lemur 2F80),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,16/07/2018
Lemur-2 Amanda-Svant,USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,29/04/2021
Lemur-2 AndiS (Lemur 2F47),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,14/07/2017
Lemur-2 Angela (Lemur 2F31),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,18/04/2017
Lemur-2 AnnaBanana,NR (9/21),USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,30/06/2021
Lemur-2 Anubhavthakur (Lemur 2F16),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,17/10/2016
Lemur-2 Beaudacious (Lemur 2FM98),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,1/04/2019
Lemur-2 BrianDavie (Lemur 2F52),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,8/12/2017
Lemur-2 BrownCow (Lemur 2F71),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,11/01/2018
Lemur-2 CarlSantaMari ,NR (9/21),USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,30/06/2021
Lemur-2 Chantal ,USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,24/01/2021
Lemur-2 Chanusiak (Lemur 2F83),NR,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,10/11/2018
Lemur-2 Chris (Lemur 2F4),NR,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,28/09/2015
Lemur-2 ChristinaHolt (Lemur 2F90) ,Luxembourg,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,27/12/2018
Lemur-2 DaisyHarper (Lemur 2F95),Luxembourg,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,27/12/2018
Lemur-2 DaveWilson (Lemur 2F69),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,11/01/2018
Lemur-2 DayWzaGoodDay (2FM123),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,28/09/2020
Lemur-2 Dembitz (Lemur 2F49),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,14/07/2017
Lemur-2 Disclaimer (Lemur FM165),Luxembourg,USA,Luxembourg,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,3/01/2023
Lemur-2 Djara,Luxembourg,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,5/11/2020
Lemur-2 Djirang,NR (4/22),USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,13/01/2022
Lemur-2 Djuproera (Lemur 2FM116),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,2/09/2020
Lemur-2 Duly (Lemur 2F87),NR,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,29/11/2018
Lemur-2 Dunlop (Lemur 2F57),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,10/12/2017
Lemur-2 DustInTheWind (Lemur 2FM105) ,USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,5/07/2019
Lemur-2 Ejatta (Lemur 2FM104),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,5/07/2019
Lemur-2 Elham (Lemur 2FM99),Luxembourg,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,1/04/2019
Lemur-2 Emmaculate (Lemur FM164),Luxembourg,USA,Luxembourg,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,3/01/2023
Lemur-2 EthanOakes (Lemur 2FM114),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,2/09/2020
Lemur-2 FuenteTaja-01 (FM169),Luxembourg,USA,Luxembourg,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,3/01/2023
Lemur-2 Furiaus (Lemur 2F45),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,14/07/2017
Lemur-2 Greenberg (Lemur 2F42),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,14/07/2017
Lemur-2 GregRobinson (Lemur 2FM108),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,5/07/2019
Lemur-2 Gustavo (Lemur 2F89),Luxembourg,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,27/12/2018
Lemur-2 HiMomAndDad (Lemur 2FM109),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,11/12/2019
Lemur-2 Jackson,NR (9/21),USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,30/06/2021
Lemur-2 JenniferSong ,USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,24/01/2021
Lemur-2 JennnyBarna (Lemur 2F30),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,18/04/2017
Lemur-2 Jeremiah (Lemur 2F129),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,7/11/2020
Lemur-2 Jeroen (Lemur 2F3),NR,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,28/09/2015
Lemur-2 Jin-Luen (Lemur 2F76),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,31/01/2018
Lemur-2 Jindra (Lemur 2F127),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,7/11/2020
Lemur-2 Jobanputra (Lemur 2-F22),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,15/02/2017
Lemur-2 Joel (Lemur 2F1),NR,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,28/09/2015
Lemur-2 JohanLoran (Lemur FM97),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,1/04/2019
Lemur-2 John-Treires ,NR (9/21),USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,30/06/2021
Lemur-2 JPSquared (Lemur 2FMf110),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,11/12/2019
Lemur-2 Kadi (Lemur 2F74),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,31/01/2018
Lemur-2 KarenB,USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,25/05/2022
Lemur-2 King-Julien,NR (4/22),USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,13/01/2022
Lemur-2 Kobyszcze (Lemur 2F86),NR,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,29/11/2018
Lemur-2 KungFoo (Lemur 2F37),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,23/06/2017
Lemur-2 LillyJo (Lemur 2FM107),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,5/07/2019
Lemur-2 Lisasaurus (Lemur 2F40),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,23/06/2017
Lemur-2 Liu-Poh-Chun (Lemur 2F55),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,8/12/2017
Lemur-2 LucyBryce (Lemur 2F36),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,23/06/2017
Lemur-2 Lynsey-Symo (Lemur 2F41),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,23/06/2017
Lemur-2 Mango1 (Lemur 2F137),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,24/01/2021
Lemur-2 Marshall (Lemur 2F73),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,21/01/2018
Lemur-2 McCafferty (Lemur 2F70),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,11/01/2018
Lemur-2 McCullagh (Lemur 2F56),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,8/12/2017
Lemur-2 McPeake (Lemur 2F38),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,23/06/2017
Lemur-2 Merima ,NR (9/21),USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,30/06/2021
Lemur-2 Mia-Grace (Lemur 2F27),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,15/02/2017
Lemur-2 Mimi1307,USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,25/05/2022
Lemur-2 Miriwari,NR (4/22),USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,13/01/2022
Lemur-2 Mmolo (Lemur FM167),Luxembourg,USA,Luxembourg,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,3/01/2023
Lemur-2 Monson (Lemur 2F44),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,14/07/2017
Lemur-2 Morag (Lemur 2FM101),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,5/07/2019
Lemur-2 NallyWacker (Lemur 2F132),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,24/01/2021
Lemur-2 NatalieMurray (Lemur 2F94),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,27/12/2018
Lemur-2 Neva (Lemur 2F133),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,24/01/2021
Lemur-2 Nichol (Lemur FM122),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,28/09/2020
Lemur-2 NoguesCorreig (Lemur 2F28),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,15/02/2017
Lemur-2 NoobNoob,USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,24/01/2021
Lemur-2 OnReflection,NR (9/23),USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10, 10 ,15/04/2023
Lemur-2 Orzulak (Lemur 2F84),NR,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,29/11/2018
Lemur-2 Oscarlator (Lemur 2FM118),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,2/09/2020
Lemur-2 Ozarak ,USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,7/11/2020
Lemur-2 Pappy (Lemur 2FM108),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,11/12/2019
Lemur-2 Peter (Lemur 2F2),NR,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,28/09/2015
Lemur-2 PeterG (Lemur 2F48),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,14/07/2017
Lemur-2 PeterWebster (Lemur 2F68),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,11/01/2018
Lemur-2 PhilAri  (Lemur FM166),Luxembourg,USA,Luxembourg,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,3/01/2023
Lemur-2 Ramonamae,NR (4/22),USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,13/01/2022
Lemur-2 Rdeaton (Lemur 2-F25),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,15/02/2017
Lemur-2 RemyColton (Lemur 2F88),Luxembourg,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,27/12/2018
Lemur-2 RobMoore (Lemur 2F33),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,18/04/2017
Lemur-2 RocketJonah (Lemur 2F54),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,8/12/2017
Lemur-2 Rohovithsa,NR (4/22),USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,13/01/2022
Lemur-2 RomaCoste (Lemur 2F53),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,8/12/2017
Lemur-2 Romeo-N-LEO,NR (9/23),USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10, 10 ,15/04/2023
Lemur-2 Ruairi-Elidh – 2021-006DC,USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,24/01/2021
Lemur-2 Sam-Amelia (Lemur 2F39),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,23/06/2017
Lemur-2 SaoirseDH5Guo (Lemur 2F136),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,24/01/2021
Lemur-2 SarahBettyBoo (Lemur 2F93),Luxembourg,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,27/12/2018
Lemur-2 Satchmo (Lemur 2-F24),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,15/02/2017
Lemur-2 Schmidtfall (Lemur 2FM115),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,2/09/2020
Lemur-2 ShainaJohl (Lemur 2F34),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,23/06/2017
Lemur-2 Slicers (Lemur 2FM121),Luxembourg,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,28/09/2020
Lemur-2 Smita-Sharad (Lemur 2-F26),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,15/02/2017
Lemur-2 Sokolsky (Lemur 2-F14),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,17/10/2016
Lemur-2 SpecialK,USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,29/04/2021
Lemur-2 Spire-Minions (Lemur 2F23),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,15/02/2017
Lemur-2 SpiroVision (Lemur 2F32),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,18/04/2017
Lemur-2 Squarejaws (Lemur 2FM117),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,2/09/2020
Lemur-2 SteveAlbers (Lemur FM168),Luxembourg,USA,Luxembourg,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,3/01/2023
Lemur-2 Susurrus (Lemur 2FM120),Luxembourg,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,28/09/2020
Lemur-2 Tachikoma (Lemur 2F29),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,15/02/2017
Lemur-2 Tallhamn-ATC (Lemur 2F72),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,21/01/2018
Lemur-2 TennysonLilly,USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,25/05/2022
Lemur-2 TheNickMolo (Lemur 2F75),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,31/01/2018
Lemur-2 Theodosia (Lemur 2FM111),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,11/12/2019
Lemur-2 TinyKev (Lemur 2F92) ,Luxembourg,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,27/12/2018
Lemur-2 TomHenderson (Lemur 2F78),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,16/07/2018
Lemur-2 UramChanSol (Lemur 2F77),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,31/01/2018
Lemur-2 Ursa Avion (Lemur 2FM119),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,2/09/2020
Lemur-2 VanDenDries,USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,25/05/2022
Lemur-2 Victor-Andrew (Lemur 2FM100),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,1/04/2019
Lemur-2 Vladimir (Lemur 2F85),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,29/11/2018
Lemur-2 Vu (Lemur 2F81),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,16/07/2018
Lemur-2 Wallace (Lemur 2F128),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,7/11/2020
Lemur-2 Wanli (Lemur 2FM102),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,5/07/2019
Lemur-2 Wingo (Lemur 2F17),USA,USA,USA,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,10,,17/10/2016
